เธอจะทำอะไร,TZ-1 ca?2 Tam1 ?a-2 raj1
เธอจะทำอะไร,TZ-1 ca?2 Tam1 ?a-2 raj1
สวย,sRj5
สวย,sRj5
เครื่องกลึง,KrWN3 klvN1
เครื่องมิลลิ่ง,KrWN3 mi?4 la-4 liN3
มีด,mIt3
เครื่องมือช่าง,KrWN3 mV-1 CaN3
แปรรูป,prY-1 rUp3
เจียระไน,cJ-1 ra?4 naj1
หมุน,mun5
โต๊ะ,to?4
ด้านบน,dAn3 bon1
ติดตั้ง,tit2 taN3
ติดตั้ง,tit2 taN3
ไมโครมิเตอร์,maj1 KrO-1 mi-4 tZ-3
ไมโครมิเตอร์,maj1 KrO-1 mi-4 tZ-3
ไม้วัดมุม,mAj4 wat4 mum1
ปลาย,plAj1
เส้นผ่านสูนย์กลางภายใน,sen3 PAn2 sU-5 na-4 ja-4  klAN1 PAj1 naj1
เส้นผ่านศูนย์กลางภายนอก,sen3 PAn2 sUn5 klAN1 PAj1 nXk3
ขนาดภายใน,Ka-2 nAt2 PAj1 naj1
ขนาด,Ka-2 nAt2
วัด,wat4
มุม,mum1
มุม,mum1
วัด,wat4
ถูกต้อง,TUk2 txN3
ผิด,Pit2
ไม่เข้าใจ,maj3 Kaw3 caj1
แกนเพลายันศูนย์ท้าย,kYn1 Plaw1 jan1 sUn5 TAj4
รู,rU-1
ทรงสอบ (taper shape) รู,soN1 sXp2 ( taper shape ) rU-1
หัวจับแบบสามจับพร้อม,hR-5 cap2 bYp2 sAm5 cap2 PrXm4
ใช้,Caj4
มีดกลึง,mIt3 klvN1
มีดกลึง,mIt3 klvN1
แผน,PYn5
แบบเขียน,bYp2 KJn5
ทำได้,Tam1 daj3
ไม่ได้,maj3 dAj3
วัสดุ,wat4 sa-1 du?2
วัสดุ,wat4 sa-1 du?2
วัตถุดิบ,wat4 Tu?2 dip2
ทำให้เสร็จสมบูรณ์,Tam1 haj3 set2 som5 bUn1
เหลาเพิ่อให้เสร็จสมบูรณ์,law5  haj3 set2 som5 bUn1
เหลาคร่าวๆ,law5 KrAw3 KrAw3
ความเร็วตัด  เหลา,KwAm1 rew1 tat2 law5
เร็ว,rew1
เพลาหลัก,Plaw1 lak2
ช้า,CA-4
เหล็กกล้าคาร์บอน(Carbon Steel),lek2 klA-3 KA-1 bXn1 ( Carbon Steel )
ชนิด,Ca-4 nit4
แสดง,sa-1 dYN1
การชุบแข็ง(Hardening),kAn1 Cup4 KyN5 ( Hardening )
อบ,?op2
กะทันหัน,ka-1 Tan1 han5
คำตรงกันข้าม,Kam1 troN1 kan1 KAm3
ทำทมห้แข็งขึ้น,Tam1 Tom1  KyN5 Kvn3
ทำให้แข็งขึ้น,Tam1 haj3 KyN5 Kvn3
การออกแบบ,kAn1 ?Xk2 bYp2
ข้างล่าง,KAN3 lAN3
ข้างล่าง,KAN3 lAN3
วัด,wat4
ป้ายสังเกต,pAj3 saN5 kEt2
ไฟดูด,faj1 dUt2
ระมัดระวัง,ra?4 mat4 ra?4 waN1
ความยาว,KwAm1 jAw1
หน่วย,nRj2
ความยาวของเกลียวที่มีประสิทธิภาพของสครู,KwAm1 jAw1 KXN5 klJw1 TI-3 mI-1 pra-1 sit2 Ti?4 PAp3 KXN5 KrU-1
ทั่วไป,TR-3 paj1
วงกลม,woN1 klom1
ทรงกระบอก,soN1 kra-1 bXk2
ทรงกระบอก,soN1 kra-1 bXk2
ทรงกระบอก,soN1 kra-1 bXk2
มุม,mum1
ฟังก์ชันตรีโกณมิติ,faN1 Can1 trI-1 kOn1 mi?4 ti?2
ขัด,Kat2
ทาสี 　เคลือบ,TA-1 sI-5 KlWp3
เหล็ก,lek2
สแตนเลส,sa-1 tYn1 lEt3
คาร์ไบด์,KA-1 baj1
แม่พิมพ์,mY-3 Pim1
ปากกาจับชิ้นงานตั้งโต๊,pAk2 kA-1 cap2 Cin4 NAn1 taN3 tO-4
โต๊ะกลม,to?4 klom1
สว่าน,sa-1 wAn2
สว่าน,sa-1 wAn2
ปลั๊ก,plak4
ความพอดและพกัดความเผื่อ (Fits and Tolerances),KwAm1 PX-1 ly?4 kat2 KwAm1 PW-2 ( Fits and Tolerances )
ความเผื่อ (Tolerances),KwAm1 PW-2 ( Tolerances )
คดอกเอ็นมิลล์,Kot4 ?ok2 ?en1 mi?4 lX-1
ทองแดง,TXN1 dYN1
อลูมิเนียม,?a-2 lU-1 mi-4 nJm1
อลูมิเนียม,?a-2 lU-1 mi-4 nJm1
แท่งเทียบมาตรฐาน(Gauge block ),TYN3 TJp3 mAt3 tra?2 TAn5 ( Gauge block )
เกจวัดจำกัด (Limit gauge),kEt2 wat4 cam1 kat2 ( Limit gauge )
เกจวัดจำกัด (Limit gauge),kEt2 wat4 cam1 kat2 ( Limit gauge )
เกจวัดรู,kEt2 wat4 rU-1
เกจวัดเพลา,kEt2 wat4 Plaw1
สวมเผื่อ (clearance fit),sRm5 PW-2 ( clearance fit )
สวมอัด (interference fit),sRm5 ?at2 ( interference fit )
สวมพอดี (transition fit),sRm5 PX-1 dI-1 ( transition fit )
ค่าเผื่อ,KA-3 PW-2
กำหนดของพิกัดความเผื่อ,kam1 not2 KXN5 Pi?4 kat2 KwAm1 PW-2
อักษรตัวพิมพ์ใหญ่,?ak2 sXn5 tR-1 Pim1 jaj2
อักษรตัวพิมพ์เล็ก,?ak2 sXn5 tR-1 Pim1 lek4
เกณฑ์ความคลาดเคลื่อนทางเรขาคณิตและมิติ,kEn1 KwAm1 KlAt3 KlWn3 TAN1 rE-1 KA-5 Ka-4 nit4 ly?4 mi?4 ti?2
เกณฑ์ความคลาดเคลื่อนของรูปร่าง,kEn1 KwAm1 KlAt3 KlWn3 KXN5 rUp3 rAN3
เกณฑ์ความคลาดเคลื่อนของการวางทิศทาง ความตั้งฉาก,kEn1 KwAm1 KlAt3 KlWn3 KXN5 kAn1 wAN1 Tit4 TAN1 KwAm1 taN3 CAk2
เกณฑ์ความคลาดเคลื่อนของรูปร่าง ความเรียบ,kEn1 KwAm1 KlAt3 KlWn3 KXN5 rUp3 rAN3 KwAm1 rJp3
เกณฑ์ความคลาดเคลื่อนของรูปร่าง ความกรม,kEn1 KwAm1 KlAt3 KlWn3 KXN5 rUp3 rAN3 KwAm1 krom1
เกณฑ์ความคลาดเคลื่อนของรูปร่าง ความเป็นทรงกระบอก,kEn1 KwAm1 KlAt3 KlWn3 KXN5 rUp3 rAN3 KwAm1 pen1 soN1 kra-1 bXk2
มีดกลึง (Cutting Tool),mIt3 klvN1 ( Cutting Tool )
มีดกลึงที่เปลี่ยนเม็ดมีดกลึงได้,mIt3 klvN1 TI-3 plJn2 met4 mIt3 klvN1 dAj3
เม็ดมีดกลึง,met4 mIt3 klvN1
ปากกาอยู่บนโต๊ะ,pAk2 kA-1 jU-2 bon1 to?4
แมวอยู่ใต้รถ,mYw1 jU-2 tAj3 rot4
คุณแม่อยู่ในห้อง,Kun1 mY-3 jU-2 naj1 hXN3
โทรศัพท์อยู่หน้าทีวี,TO-1 ra-4 sap2 jU-2 nA-3 TI-1 wI-1
บ้านอยู่หลังโรงพยาบาล,bAn3 jU-2 laN5 rON1 Pa-4 jA-1 bAn1
คุณสมชายอยู่ข้าง ๆ คุณสมหญิง,Kun1 som5 CAj1 jU-2 KaN3 KaN3 Kun1 som5 jiN5
คุณเอไปบ้านคุณบี,Kun1 ?E-1 paj1 bAn3 Kun1 bI-1
จะถึงแล้ว จอดตรงไหนดี,ca?2 TvN5 lYw4 cXt2 troN1 naj5 dI-1
จอดหน้าบ้านก็ได้,cXt2 nA-3 bAn3 kX-3 daj3
แถวนี้มีธนาคารไหมครับ,TYw5 nI-4 mI-1 Ta-4 nA-1 KAn1 maj5 Krap4
มีค่ะ เดินตรงไป 200 เมตร ธนาคารอยู่ข้าง ๆ 7-11 ค่ะ,mI-1 Ka?3 dZn1 troN1 paj1 sXN5 rXj4 met4 Ta-4 nA-1 KAn1 jU-2 KaN3 KaN3 cet2 - sip2 ?et2 Ka?3
เซเว่นอีเลฟเว่น,sE-1 wen3 ?I-1 lEf3 wen3
หยุด,jut2
สวัสดีค่ะ วันนี้เราจะมาเรียนเกี่ยวกับคำบุพบทแสดงตำแหน่งกันนะคะ,sa-1 wat2 dI-1 Ka?3 wan1 nI-4 raw1 ca?2 mA-1 rJn1 kJw2 kap2 Kam1 bup2 Pa-4 bot2 sa-1 dYN1 tam1 nyN2 kan1 na-4 Ka-4
วันนี้จะขอนำเสนอ 7 คำนะคะ,wan1 nI-4 ca?2 KX-5 nam1 sa-1 nZ-5 cet2 Kam1 na-4 Ka-4
ถ้าเป็นภาษาไทย 7 ทำแบบนี้,TA-3 pen1 PA-1 sA-5 Taj1 cet2 Tam1 bYp2 nI-4
แต่ถ้าเป็นภาษาญี่ปุ่น 7 ทำแบบนี้ใช่มั้ยคะ,tY-2 TA-3 pen1 PA-1 sA-5 jI-3 pun2 cet2 Tam1 bYp2 nI-4 Caj3 maj4 Ka?4
อยู่,jU-2
ประโยคต่อไปนะคะ,pra-1 jOk2 tX-2 paj1 na-4 Ka-4
ห้า,hA-3
ข้างข้าง,KAN3 KAN3
บ๊อบบี้ บ๊อบบี้ อยู่ไหน,bXp4 bI-3 bXp4 bI-3 jU-2 naj5
อยู่ในถังขยะ ช่วยด้วย,jU-2 naj1 TaN5 Ka-2 ja?2 CRj3 dRj3
อยู่ในถังขยะ ช่วยด้วย,jU-2 naj1 TaN5 Ka-2 ja?2 CRj3 dRj3
กลมกลืน,klom1 klVn1
ไปเซ็นทรัล,paj1 sen1 Tran1
ยานัดหมอมี,jA-1 nat4 mX-5 mI-1
ยานัดหมอมี,jA-1 nat4 mX-5 mI-1
ยานัดหมอมี,jA-1 nat4 mX-5 mI-1
ยานัดหมอมี,jA-1 nat4 mX-5 mI-1
สวัสดี,sa-1 wat2 dI-1
สวัสดี,sa-1 wat2 dI-1
สวัสดี,sa-1 wat2 dI-1
สวัสดี,sa-1 wat2 dI-1
ยานัดหมอมี,jA-1 nat4 mX-5 mI-1
ยานัดหมอมี,jA-1 nat4 mX-5 mI-1
ยานัดหมอมี,jA-1 nat4 mX-5 mI-1
ยานัดหมอมี,jA-1 nat4 mX-5 mI-1
ยานัดหมอมี,jA-1 nat4 mX-5 mI-1
โอเคค่ะ มีรอบ 20.00 กับ 22.00 ที่ฉายในระบบ 3 มิติค่ะ จองที่นั่งแบบคู่รักหรือแบบลักเซอรี่เลานจ์ได้ด้วยนะคะ,?O-1 KE-1 Ka?3 mI-1 rXp3 jI-3 sip2 nA-1 li-4 kA-1 kap2 jI-3 sip2 sXN5 nA-1 li-4 kA-1 TI-3 CAj5 naj1 ra-1 bop2 sAm5 mi?4 ti?2 Ka?3 cXN1 TI-3 naN3 bYp2 KU-3 rak4 rV-5 bYp2 lak4 sE-1 rI-3 law1 nX-1 dAj3 dRj3 na-4 Ka-4
โอเคค่ะ มีรอบ 20.00 กับ 22.00 ที่ฉายในระบบ 3 มิติค่ะ จองที่นั่งแบบคู่รักหรือแบบลักเซอรี่เลานจ์ได้ด้วยนะคะ,?O-1 KE-1 Ka?3 mI-1 rXp3 jI-3 sip2 nA-1 li-4 kA-1 kap2 jI-3 sip2 sXN5 nA-1 li-4 kA-1 TI-3 CAj5 naj1 ra-1 bop2 sAm5 mi?4 ti?2 Ka?3 cXN1 TI-3 naN3 bYp2 KU-3 rak4 rV-5 bYp2 lak4 sE-1 rI-3 law1 nX-1 dAj3 dRj3 na-4 Ka-4
โอเคค่ะ มีรอบ 20.00 กับ 22.00 ที่ฉายในระบบ 3 มิติค่ะ จองที่นั่งแบบคู่รักหรือแบบลักเซอรี่เลานจ์ได้ด้วยนะคะ,?O-1 KE-1 Ka?3 mI-1 rXp3 jI-3 sip2 nA-1 li-4 kA-1 kap2 jI-3 sip2 sXN5 nA-1 li-4 kA-1 TI-3 CAj5 naj1 ra-1 bop2 sAm5 mi?4 ti?2 Ka?3 cXN1 TI-3 naN3 bYp2 KU-3 rak4 rV-5 bYp2 lak4 sE-1 rI-3 law1 nX-1 dAj3 dRj3 na-4 Ka-4
โอเคค่ะ มีรอบ 20.00 กับ 22.00 ที่ฉายในระบบ 3 มิติค่ะ จองที่นั่งแบบคู่รักหรือแบบลักเซอรี่เลานจ์ได้ด้วยนะคะ,?O-1 KE-1 Ka?3 mI-1 rXp3 jI-3 sip2 nA-1 li-4 kA-1 kap2 jI-3 sip2 sXN5 nA-1 li-4 kA-1 TI-3 CAj5 naj1 ra-1 bop2 sAm5 mi?4 ti?2 Ka?3 cXN1 TI-3 naN3 bYp2 KU-3 rak4 rV-5 bYp2 lak4 sE-1 rI-3 law1 nX-1 dAj3 dRj3 na-4 Ka-4
โอเคค่ะ มีรอบ 20.00 กับ 22.00 ที่ฉายในระบบ 3 มิติค่ะ จองที่นั่งแบบคู่รักหรือแบบลักเซอรี่เลานจ์ได้ด้วยนะคะ hellp,?O-1 KE-1 Ka?3 mI-1 rXp3 jI-3 sip2 nA-1 li-4 kA-1 kap2 jI-3 sip2 sXN5 nA-1 li-4 kA-1 TI-3 CAj5 naj1 ra-1 bop2 sAm5 mi?4 ti?2 Ka?3 cXN1 TI-3 naN3 bYp2 KU-3 rak4 rV-5 bYp2 lak4 sE-1 rI-3 law1 nX-1 dAj3 dRj3 na-4 Ka-4 hellp
โอเคค่ะ มีรอบ 20.00 กับ 22.00 ที่ฉายในระบบ 3 มิติค่ะ จองที่นั่งแบบคู่รักหรือแบบลักเซอรี่เลานจ์ได้ด้วยนะคะ hello,?O-1 KE-1 Ka?3 mI-1 rXp3 jI-3 sip2 nA-1 li-4 kA-1 kap2 jI-3 sip2 sXN5 nA-1 li-4 kA-1 TI-3 CAj5 naj1 ra-1 bop2 sAm5 mi?4 ti?2 Ka?3 cXN1 TI-3 naN3 bYp2 KU-3 rak4 rV-5 bYp2 lak4 sE-1 rI-3 law1 nX-1 dAj3 dRj3 na-4 Ka-4 hello
โอเคค่ะ มีรอบ 20.00 กับ 22.00 ที่ฉายในระบบ 3 มิติค่ะ จองที่นั่งแบบคู่รักหรือแบบลักเซอรี่เลานจ์ได้ด้วยนะคะ,?O-1 KE-1 Ka?3 mI-1 rXp3 jI-3 sip2 nA-1 li-4 kA-1 kap2 jI-3 sip2 sXN5 nA-1 li-4 kA-1 TI-3 CAj5 naj1 ra-1 bop2 sAm5 mi?4 ti?2 Ka?3 cXN1 TI-3 naN3 bYp2 KU-3 rak4 rV-5 bYp2 lak4 sE-1 rI-3 law1 nX-1 dAj3 dRj3 na-4 Ka-4
5/6 หมู่ 5 ตำบลคลองนา  อำเภอเมือง  จังหวัดฉะเชิงเทรา 24000,hA-3 / hok2 mU-2 hA-3 tam1 bon1 KlXN1 nA-1 ?am1 PZ-1 mWN1 caN1 wat2 Ca?2 CZN1 saw1 sXN5 mVn2 sI-2 Pan1
ฉันติดต่อทางร้านแล้วค่ะ ตอนนี้โต๊ะสำหรับ 4 ท่านมีว่างแค่หลัง 4 ทุ่มค่ะ ถ้าเป็นนั่งในเลานจ์ได้มั้ยคะ,Can5 tit2 tX-2 TAN1 rAn4 lYw4 Ka?3 tXn1 nI-4 to?4 sam5 rap2 sI-2 Tan3 mI-1 wAN3 KY-3 laN5 sI-2 Tum3 Ka?3 TA-3 pen1 naN3 naj1 law1 nX-1 dAj3 maj4 Ka?4
ฉันติดต่อทางร้านแล้วค่ะ ตอนนี้โต๊ะสำหรับ 4 ท่านมีว่างแค่หลัง 4 ทุ่มค่ะ ถ้าเป็นนั่งในเลานจ์ได้มั้ยคะ,Can5 tit2 tX-2 TAN1 rAn4 lYw4 Ka?3 tXn1 nI-4 to?4 sam5 rap2 sI-2 Tan3 mI-1 wAN3 KY-3 laN5 sI-2 Tum3 Ka?3 TA-3 pen1 naN3 naj1 law1 nX-1 dAj3 maj4 Ka?4
$120,$ rXj4 jI-3 sip2
120 บาท,rXj4 jI-3 sip2 bAt2
